,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1657,Queen of Katwe,BV,8900000.0,1500000.0,2016,tt4341582,Queen of Katwe,Queen of Katwe,2016.0,124.0,"Biography,Drama,Sport"
1658,Miss Sloane,EC,3500000.0,5600000.0,2016,tt4540710,Miss Sloane,Miss Sloane,2016.0,132.0,"Drama,Thriller"
1659,Morgan,Fox,3900000.0,4900000.0,2016,tt4520364,Morgan,Morgan,2016.0,92.0,"Action,Horror,Sci-Fi"
1660,My King (Mon roi),FM,54100.0,7900000.0,2016,,,,,,
1661,Pele: Birth of a Legend,IFC,57000.0,7800000.0,2016,,,,,,
1662,A Bigger Splash,FoxS,2000000.0,5500000.0,2016,,,,,,
1663,Southside with You,RAtt.,6300000.0,208000.0,2016,tt4258698,Southside with You,Southside with You,2016.0,84.0,"Biography,Drama,History"
1664,Incarnate,BH Tilt,4800000.0,1500000.0,2016,tt3216348,Incarnate,Incarnate,2016.0,91.0,"Horror,Thriller"
1665,Max Steel,ORF,3800000.0,2500000.0,2016,tt1472584,Max Steel,Max Steel,2016.0,92.0,"Action,Adventure,Family"
1666,Midnight Special,WB,3700000.0,2500000.0,2016,tt2649554,Midnight Special,Midnight Special,2016.0,112.0,"Action,Drama,Mystery"
1667,The Duelist,Sony,13500.0,6100000.0,2016,tt5282006,The Duelist,Duelyant,2016.0,109.0,"Action,Drama,Thriller"
1668,The Autopsy of Jane Doe,IFC,10500.0,6000000.0,2016,tt3289956,The Autopsy of Jane Doe,The Autopsy of Jane Doe,2016.0,86.0,"Horror,Mystery,Thriller"
1669,My Best Friend's Wedding (2016),Sony,78600.0,5600000.0,2016,,,,,,
1670,Genius,RAtt.,1400000.0,4300000.0,2016,tt1703957,Genius,Genius,2016.0,104.0,"Biography,Drama"
1671,Genius,RAtt.,1400000.0,4300000.0,2016,tt7722258,Genius,Genius,2018.0,165.0,"Action,Thriller"
1672,Men & Chicken,Drft.,30200.0,4600000.0,2016,,,,,,
1673,Indignation,RAtt.,3400000.0,523000.0,2016,tt4193394,Indignation,Indignation,2016.0,110.0,"Drama,Romance"
1674,Rules Don't Apply,Fox,3700000.0,233000.0,2016,tt1974420,Rules Don't Apply,Rules Don't Apply,2016.0,127.0,"Comedy,Drama,Romance"
1675,Naam Hai Akira,FIP,219000.0,3500000.0,2016,tt5465370,Naam Hai Akira,Akira,2016.0,137.0,"Action,Thriller"
1676,Miles Ahead,SPC,2600000.0,850000.0,2016,,,,,,
1677,The Program (2016),EOne,13100.0,3300000.0,2016,,,,,,
1678,Desierto,STX,2000000.0,1000000.0,2016,,,,,,
1679,Hillsong - Let Hope Rise,PFR,2400000.0,255000.0,2016,,,,,,
1680,El Jeremias,Sony,650000.0,1900000.0,2016,,,,,,
1681,Equals,A24,33300.0,2100000.0,2016,,,,,,
1682,American Honey,A24,663000.0,1200000.0,2016,tt3721936,American Honey,American Honey,2016.0,163.0,"Adventure,Drama,Romance"
